Wish List,Lista życzeń
Add to Wish List,Dodaj do listy życzeń
View Product,Wyświetl produkt
Qty,Ilość
Add to Cart,Dodaj do koszyka
Availability,Dostępność
In stock,Na stanie
Out of stock,Obecnie brak na stanie
Edit,Edytować
Remove Item,Usuń przedmiot
Remove item,Usuń przedmiot
Add to Compare,Dodaj do porównania
This Wish List has no Items,Ta lista życzeń nie zawiera żadnych elementów
%1 has been added to your Wish List., %1 został dodany do twojej listy życzeń.
"Click <a href=""%1"">here</a> to continue shopping.","Kliknij <a href=""%1""> tutaj </a>, aby kontynuować zakupy."
See Details,Patrz szczegóły
Options Details,Szczegóły opcji
RSS link to %1's wishlist,RSS link do listy życzeń %1
RSS Feed,Kanał RSS
Product,Produkt
Back,Plecy
Wish List is empty now.,Lista życzeń jest teraz pusta.
* Required Fields,* Wymagane pola
Sharing Information,Dzielenie się informacjami
"Email addresses, separated by commas",Adresy e-mail rozdzielone przecinkami
Rachunek here to link an RSS feed to your Wish List.,"Sprawdź tutaj, aby połączyć kanał RSS z Twoją listą życzeń."
Last Added Items,Ostatnio dodane przedmioty
Remove This Item,Usuń ten przedmiot
Go to Wish List,Przejdź do listy życzeń
You have no items in your wish list.,Nie masz żadnych przedmiotów na swojej liście życzeń.
Take a look at %customer_name's Wish List,Spójrz na listę życzeń% customer_name
%customer_name wants to share this Wish List from %store_name with you:,% customer_name chce udostępnić tę listę życzeń z% store_name:
Message from %customer_name:,Wiadomość od% nazwa_klienta:
View all Wish List items,Wyświetl wszystkie elementy listy życzeń
Wish List Section,Sekcja listy życzeń
Share Options,Opcje udostępniania
Email Sender,Email Sender
Email Template,Szablon e-maila
"Email template chosen based on theme fallback when ""Default"" option is selected.","Wybrano szablon wiadomości e-mail na podstawie zastępczego motywu, gdy wybrano opcję ""Domyślne""."
Max Emails Allowed to be Sent,Maksymalna liczba wysłanych wiadomości e-mail
Email Text Length Limit,Limit długości tekstu wiadomości e-mail
General Options,Opcje ogólne
Enabled,Włączone
My Wish List Link,My Wish List Link
Display Wish List Summary,Wyświetl podsumowanie listy życzeń
Enable RSS,Włącz RSS
No Items Found,Nie znaleziono przedmiotów
Product Name,Nazwa produktu
User Description,Opis użytkownika
Quantity,Ilość
Add Locale,Dodaj ustawienia regionalne
Add Date,Dodaj datę
Days in Wish List,Dni na liście życzeń
Action,Akcja
Configure,Skonfiguruj
Delete,Kasować
Product Details and Comment,Szczegóły produktu i komentarz
